opcode_sequence,label
ret lea lea push xor or xor sub add ret nop lea sub cmp or,1
sub cmp call and push cmp lea nop call jmp or call nop call,0
ret add push ret xor pop push xor push push pop ret jmp call,0
nop pop add cmp call xor nop jmp ret mov sub call pop sub add call ret and pop,1
cmp or mov ret sub jmp jmp sub add jmp pop ret nop lea jmp xor ret,0
nop or nop lea add sub and sub or nop and mov mov cmp jmp lea push mov mov or,1
ret lea and pop add push add or jmp add push sub push,1
add ret ret jmp xor add or add ret lea add lea,0
add and nop sub and cmp push nop or mov call ret call jmp or,0
or ret call mov ret and push ret or,0
pop and xor or and sub sub cmp jmp push cmp mov push cmp and or cmp mov,1
call ret xor call and and nop or mov jmp,0
or call call cmp or push or add call call xor,0
pop lea ret add pop call pop,1
xor lea and cmp or nop and pop sub ret add nop mov mov ret call add cmp,0
or nop jmp push call ret nop nop,1
or or add or jmp push ret and cmp jmp ret xor mov sub jmp add xor,0
push cmp push ret call jmp cmp,1
and ret cmp ret push mov mov mov pop cmp xor ret ret call and pop jmp nop cmp,0
ret push xor and add pop cmp push add mov add add push cmp push add add lea jmp,1
push and mov call cmp mov call nop add mov add or mov or mov lea and xor,0
add or sub push xor add xor ret or xor ret push cmp xor jmp mov ret nop,0
or ret or ret xor and or call add,0
nop mov nop call lea add call mov lea push add lea,1
push cmp add call sub nop or jmp,1
pop xor mov push or push and push and or xor add lea jmp jmp mov or nop call,0
ret pop ret add and nop sub add or cmp mov or mov and sub push sub,0
pop and xor pop nop pop pop xor ret mov,0
nop push cmp add mov call mov and cmp lea or nop call jmp pop jmp,1
nop pop xor pop ret call and jmp xor sub lea add or jmp xor xor xor,0
cmp mov sub nop lea sub or push or pop add sub pop ret jmp call,0
jmp push or add cmp cmp mov sub pop call mov,0
lea mov and xor cmp and nop xor and call mov add sub call xor sub sub and cmp,1
pop or or or xor pop add call xor sub mov lea push xor jmp nop,1
jmp jmp jmp and pop push or cmp ret mov add cmp call nop mov cmp or,1
and jmp pop xor or ret ret and ret cmp call call nop xor nop lea mov xor,1
cmp ret or sub add xor pop pop add ret lea nop,1
lea sub and jmp xor lea xor,0
pop xor call add add jmp push lea,0
cmp push and add mov call,1
and sub pop nop mov xor and,0
sub and and xor lea call pop call ret ret sub pop,0
and xor and pop cmp ret lea push mov lea pop pop push ret sub lea xor xor,0
push cmp nop jmp and ret call lea call call push pop jmp nop,0
ret sub mov add ret call call pop nop mov,0
sub call push push nop or pop jmp ret push sub nop sub cmp ret call nop push sub xor,1
nop nop cmp add and and nop and push and sub and pop push add lea sub,1
push nop lea or ret push sub mov sub call xor jmp lea add add cmp and lea lea,0
push or pop nop push jmp jmp cmp xor sub pop call or or ret add or add xor,0
lea mov push nop lea xor add pop xor lea mov mov or jmp pop xor jmp ret cmp xor,1
add or add jmp mov xor cmp sub cmp add sub pop mov mov lea,1
or add push push sub ret and call pop push nop mov cmp,0
and ret sub sub pop or xor xor or mov ret sub jmp sub call ret,0
add and or mov pop lea add mov add mov xor pop,1
pop pop push pop sub call xor push and ret pop nop add add add call mov,0
call push jmp jmp call call jmp push call sub and call,0
ret mov ret push sub cmp push nop add mov add sub xor call,0
mov call and push or jmp sub or push or call add ret push,1
ret and call pop pop mov add lea call push nop cmp cmp and ret xor,1
push mov or sub cmp and push ret or add cmp nop sub lea or cmp pop nop or mov,1
or and call call pop ret nop,1
pop nop lea lea cmp sub or lea cmp or push jmp xor and sub mov xor,0
pop ret lea pop pop sub ret nop lea nop and add ret,0
jmp jmp cmp jmp mov and mov or or or sub jmp call xor or call cmp mov ret and,1
add cmp mov sub sub add push or,1
pop add pop and pop nop ret nop nop mov pop ret add jmp,1
jmp sub jmp pop cmp jmp mov and ret pop jmp ret or call mov and,0
xor lea xor mov jmp lea mov or xor add add or sub or add ret pop,0
sub jmp and and lea ret lea xor or sub and xor nop cmp or nop or,0
sub push xor add push sub jmp and jmp,0
sub add push mov and cmp and or cmp pop pop xor sub call,1
mov jmp xor or or push jmp and push and or or add and add xor xor ret,1
cmp xor sub sub cmp and sub sub cmp jmp cmp cmp sub,0
sub and xor cmp and lea ret mov nop xor add sub and ret or pop,0
jmp jmp and lea xor xor ret mov nop cmp xor jmp pop xor or,1
add sub sub and ret sub jmp push call ret add pop push and pop,1
jmp pop and and pop ret call or sub mov call jmp or ret mov or,0
mov nop xor nop lea pop sub or,1
or xor or or xor jmp pop sub,0
cmp lea lea pop sub or or,0
cmp ret call pop mov ret call mov mov ret jmp or call push call,1
xor lea or and mov cmp sub xor sub call nop and jmp mov add xor nop,1
or or cmp ret pop call sub nop cmp pop ret nop,0
lea call ret add cmp jmp nop pop ret call call jmp call ret,1
sub call ret lea lea nop sub and,1
nop or add sub jmp cmp mov and call nop,1
pop xor or sub add jmp ret call xor jmp,1
add sub pop cmp or pop nop call pop call call pop,0
sub sub xor nop nop jmp call add nop ret xor,0
xor and ret lea lea or add jmp sub nop,1
push xor xor mov cmp cmp jmp xor xor xor,1
sub pop and ret mov jmp pop and push and ret call,0
ret xor ret pop add cmp cmp ret,0
add nop xor jmp ret lea lea,1
add xor or push jmp xor jmp or,1
sub push or nop cmp sub jmp nop nop,1
cmp and or call push cmp xor nop mov add mov push ret jmp ret sub or push jmp or,1
pop and call call lea xor pop pop or add push and nop nop and call add ret add xor,1
mov lea xor jmp sub call or call push mov ret cmp sub ret,1
jmp sub push sub jmp cmp and sub cmp sub nop pop pop push or or add,0
sub jmp cmp and ret add add pop push call xor sub add mov nop ret ret ret ret nop,1
sub or sub and mov nop nop push,1
and cmp jmp pop push mov and xor cmp push sub mov xor and nop,1
or jmp lea ret push lea mov,1
lea ret nop lea add add add add push cmp jmp call push xor call jmp,1
pop or xor and and push xor and jmp push or call cmp pop cmp sub ret xor,1
xor xor xor cmp add sub and and,1
xor and cmp cmp jmp and jmp lea xor mov add nop jmp,0
or nop xor cmp add cmp xor cmp,0
push pop or pop mov add ret add ret jmp lea mov cmp sub sub mov ret pop and nop,1
mov nop pop xor push xor jmp ret push or pop cmp,0
sub cmp lea add or call sub add lea sub and jmp,1
lea cmp mov add jmp jmp xor cmp ret xor ret pop lea and mov and push push cmp sub,1
push add push xor call ret sub pop call jmp xor xor and or pop or or,0
ret cmp mov cmp nop sub sub ret cmp call jmp pop cmp cmp call sub xor,1
call nop mov lea or xor call nop and ret add push xor jmp push add call mov jmp mov,1
and add mov push add jmp call or lea ret push or nop push ret cmp sub lea mov,0
cmp cmp lea jmp sub push push nop and push nop call ret pop call,1
sub add call and sub sub lea nop,1
sub push push lea call call or and,0
nop pop cmp cmp push jmp call lea or call or sub,0
nop jmp jmp call mov nop xor jmp xor nop,0
call sub call or lea ret,1
nop lea or jmp add jmp xor add xor mov or ret add or or,1
push sub or push add mov add,0
xor xor xor cmp lea and pop ret or,1
pop nop lea or push xor and mov pop,1
push or ret and nop sub sub call mov pop jmp add xor xor lea or,1
pop nop pop xor cmp or and xor jmp cmp jmp mov cmp nop cmp add,1
and nop nop or push mov lea lea jmp and,1
and cmp sub sub ret mov and,0
ret cmp sub or push mov call xor push pop add lea nop xor call and lea,1
call ret call mov mov add add nop add ret call mov call,0
nop mov mov pop ret or xor mov,0
lea cmp call mov mov nop pop xor mov xor cmp nop lea sub or,0
xor or lea and mov lea or jmp or lea mov or mov lea mov sub nop,1
xor nop mov nop push xor sub or jmp sub push mov mov lea xor sub mov,1
lea sub add push cmp mov call pop or lea mov jmp mov ret or lea push,1
lea ret push cmp nop lea mov push sub nop ret mov call jmp,1
push and mov call lea or nop mov push lea lea and ret lea lea cmp lea,1
ret nop mov cmp call add mov call lea mov,1
and cmp ret nop jmp nop add ret or ret pop,0
xor xor add jmp cmp push jmp call,1
ret jmp jmp or ret and lea lea push pop mov ret ret,0
pop ret add ret and pop,1
add push add add lea add push and,0
add add or call push call nop pop xor xor jmp add sub sub push add cmp push,1
jmp call or mov pop nop or xor pop,1
add push jmp mov or sub cmp or add or lea jmp push pop jmp jmp call lea jmp push,1
push pop or or cmp lea ret push xor sub cmp and call mov sub xor cmp,1
or lea jmp nop lea push or,0
xor ret nop and add mov sub or call lea and nop sub cmp,1
and add or pop mov lea xor and jmp sub,1
call jmp and pop add push mov or push or lea sub call xor,0
mov lea sub pop add push cmp call lea ret and and nop ret and or add cmp,0
push lea ret or mov push,1
push cmp sub sub push add jmp push,0
jmp ret sub xor nop xor or and lea nop call add pop lea and call ret,0
add sub call cmp lea sub and xor nop pop and mov and xor add and,1
and and jmp mov xor call xor xor ret sub xor call and push or lea call mov xor,0
nop nop mov jmp add nop jmp xor ret sub mov ret lea nop and call mov,1
mov lea or xor jmp and add pop call lea and,0
pop pop sub push add jmp cmp nop nop xor add ret push add lea jmp add sub,1
call or pop lea and xor cmp and jmp push add and xor mov add mov call lea,1
cmp sub jmp jmp add sub cmp mov cmp xor call and push or mov push,1
mov sub cmp pop jmp xor nop,1
ret jmp or sub nop sub nop and add mov mov call xor lea push call lea call,1
pop and mov and sub or cmp push pop call pop cmp mov call,0
mov push ret push or lea and ret xor sub push xor xor nop call add pop,1
or mov ret jmp push lea ret,0
or mov and cmp cmp nop sub and call mov lea,0
or ret jmp or call and lea or add xor mov pop and pop call mov ret nop,0
ret mov cmp push pop call sub mov xor and pop,1
call cmp mov call cmp jmp sub,1
xor cmp pop and push call nop call xor add jmp pop,0
ret push or lea and nop call ret mov and nop or cmp xor lea nop,1
xor xor and cmp cmp xor lea,0
and push and ret jmp lea add cmp mov xor pop nop cmp,1
and lea lea and call xor or push,1
or nop cmp or cmp nop xor mov nop add cmp cmp ret xor push push ret nop cmp cmp,1
cmp ret sub pop add xor sub nop xor cmp or or jmp cmp,0
call lea nop cmp jmp mov nop jmp cmp and pop push,1
and mov ret call ret push or ret nop,1
lea call and mov jmp or or or add add call and ret sub xor xor and jmp nop,0
add mov lea pop nop add ret mov add sub or nop ret add pop and,0
ret nop sub call and or ret pop nop lea sub add add pop pop push,0
mov add lea add sub or ret jmp jmp lea nop lea push or and add,0
add cmp jmp mov pop and ret sub sub or pop,0
or pop call lea and nop pop and ret push push pop push cmp,0
cmp call jmp add add cmp call cmp or and cmp,1
and lea and sub nop add pop,1
mov and sub push jmp or nop,1
call xor cmp xor pop lea mov or and sub call call add pop lea nop sub mov,0
call xor add xor add or lea nop jmp xor,0
cmp ret cmp mov pop sub nop call ret xor add add jmp xor push pop or xor xor sub,1
sub call ret xor cmp add sub,1
mov add add jmp lea or,0
cmp add lea lea xor xor lea sub sub add sub mov pop cmp sub and,0
jmp mov push or lea or sub add jmp pop ret,1
push and mov lea push push or sub,1
pop or sub nop cmp and ret add and push mov nop jmp push lea jmp lea cmp,0
push lea call or push mov nop pop and nop sub mov mov lea xor pop add push push,0
call cmp nop pop cmp and lea add sub call nop ret cmp push,1
xor push pop or nop pop jmp lea and lea add add sub pop cmp add,0
add nop nop pop ret mov lea add ret xor call call add xor add or add push mov sub,0
jmp sub lea lea and lea and pop pop jmp xor add call lea cmp lea push,1
pop ret cmp call mov pop pop ret xor push nop sub or sub cmp,0
call add or push ret call and,1
call nop and push nop nop nop add jmp push add sub cmp push cmp,1
call mov call mov mov add mov cmp add and mov push,0
call ret and call or sub add push add xor xor push,0
lea xor or mov xor sub lea or cmp sub or and cmp add ret push jmp ret mov,1
pop cmp push xor add add,0
nop xor cmp add lea xor jmp push call ret push sub sub push mov add add jmp and pop,0
nop add cmp lea nop sub call ret add push ret add jmp or,0
lea mov pop call push sub push xor push sub or add,0
push pop call push cmp cmp call pop call ret,0
cmp nop cmp add add nop push mov lea pop xor or call xor and xor or add,1
and push call add sub push cmp jmp sub xor or,0
push and xor add xor add sub cmp and add nop and lea push sub and and,0
or or mov mov push pop call xor sub jmp add xor call add lea and cmp or jmp cmp,1
call cmp cmp xor pop push and call sub lea mov pop cmp,1
call pop pop cmp and or ret mov and or sub call call and nop,1
pop call and call lea sub lea push cmp lea call push pop nop add pop sub jmp push jmp,1
sub and nop lea mov add ret ret call sub jmp ret mov call mov,0
ret and or sub ret add or jmp mov pop cmp lea ret sub lea nop,0
cmp sub and cmp add nop add call nop and mov pop,0
and call mov or jmp and or and mov and lea pop lea and call pop add ret push,1
ret pop ret ret or call,0
cmp lea cmp cmp and jmp pop and and or sub,1
call lea and pop jmp cmp,1
xor sub jmp sub lea and sub push jmp push nop,1
jmp nop sub pop push or mov mov call add lea mov,0
xor jmp nop pop xor call lea,0
and or add pop or ret ret or mov nop add,0
and call and add and cmp and or push add push and pop xor sub jmp lea add add,1
and lea add ret nop xor and lea jmp pop cmp,0
add jmp call cmp or nop ret or xor cmp ret call call xor push and mov xor,0
and call push ret xor call push ret and sub cmp pop nop nop add call push and push,0
or xor jmp mov add cmp pop jmp nop or xor call nop,0
cmp lea call mov mov or and add lea,0
mov or add nop xor and lea,1
or xor mov sub and or lea ret lea sub xor call call and lea pop lea pop xor,1
push and add nop add lea mov nop jmp nop jmp ret ret xor or pop mov,1
jmp add nop xor ret mov xor cmp cmp jmp jmp or xor and or xor push or call,1
mov add mov pop sub sub xor add and jmp pop push add ret pop jmp pop nop,1
or call jmp add nop call xor call lea sub sub,1
or ret xor nop push and add add add cmp and or push jmp and and mov lea call,1
cmp push pop sub nop or and cmp add sub push or and,1
lea lea cmp jmp or or cmp mov xor jmp xor ret and,1
and lea call lea push ret or and lea,1
or jmp ret pop or mov pop jmp sub or cmp or push pop push,0
pop jmp add sub call lea jmp call nop or add xor push push pop jmp call lea jmp,0
jmp mov nop add mov call and cmp jmp sub,1
sub and lea pop sub ret cmp push jmp or,1
sub sub ret pop ret nop,0
lea add jmp pop push xor lea add call and and,0
xor lea and ret call or cmp sub jmp call ret push push mov xor,0
mov cmp nop xor sub push,1
lea and call ret add jmp nop pop call call call pop nop xor lea,1
xor pop pop sub cmp add nop or push mov cmp or sub ret lea push,1
pop add call jmp and call add or add lea jmp cmp xor call sub,1
mov sub call mov call and jmp sub,0
call or sub sub call nop cmp sub lea and pop and lea add pop push,1
add and jmp call mov call jmp push cmp call add add ret jmp pop mov sub xor add,0
ret lea call jmp nop cmp mov cmp lea mov mov nop push sub ret push,1
ret add jmp ret nop sub push nop lea lea xor pop,0
call pop cmp and nop sub or nop cmp add pop,1
or ret call add cmp and cmp and xor push and or nop mov and push pop jmp or,0
call lea add or push nop mov xor jmp cmp push cmp lea pop cmp push,0
mov nop push sub lea call push xor and,0
jmp xor or lea cmp ret ret sub cmp mov,1
ret add lea sub jmp add ret push and cmp cmp nop add add,1
add and push jmp mov nop nop cmp sub or pop add jmp and sub nop,1
or push pop jmp and add and mov and or jmp ret xor add nop mov or add jmp,0
cmp xor ret sub jmp cmp call,1
call nop nop xor or pop or sub sub push pop or nop add sub or lea,0
or or xor call ret sub mov jmp nop,1
add pop call cmp call cmp call pop mov,0
xor mov or mov call pop pop mov pop cmp or call ret xor,1
and add nop add ret jmp lea and nop ret or add jmp sub add pop sub,1
and nop call pop nop and mov ret xor add nop cmp sub lea jmp mov call lea call,0
call add or add and and add add push pop push push add mov pop pop push or sub add,0
jmp jmp sub push cmp sub nop,1
nop nop mov cmp lea call pop pop pop mov push call or lea xor mov push cmp,1
mov ret nop call call sub pop xor call ret call,1
nop cmp sub sub mov and sub lea sub and or add or or or ret cmp,0
and push or add pop jmp nop or push call lea add xor nop xor,0
pop nop xor add and lea and mov ret cmp or ret call call sub sub call mov mov pop,0
lea nop ret cmp sub and and or and and nop ret xor jmp xor cmp push,0
add lea sub sub and mov sub call xor or,0
and push lea add cmp lea or push ret push cmp mov call cmp or pop jmp,0
cmp add ret lea xor nop or xor lea add sub lea,0
nop or call mov mov add jmp pop ret jmp call or add nop mov jmp or lea jmp jmp,0
push cmp add jmp sub xor xor lea push call nop pop ret nop sub jmp ret,1
cmp sub push sub and add pop lea and pop sub xor pop lea,1
mov ret lea nop nop cmp add push lea jmp or lea ret jmp jmp jmp sub nop,0
pop push lea push cmp lea ret and add or jmp,0
xor xor pop add cmp cmp sub add mov call and xor pop or jmp,1
pop sub jmp and mov call jmp cmp nop or pop nop,1
add pop lea ret call or push cmp jmp nop push ret or,0
ret xor mov and nop push ret nop and sub or xor call call sub,1
sub lea nop sub cmp or add mov ret call sub nop push pop pop lea nop,0
call pop call call xor add add push and xor add jmp cmp,1
and mov jmp mov or ret lea add,1
jmp nop push call mov jmp cmp add nop push cmp sub sub jmp sub and,1
pop nop pop pop pop cmp jmp cmp ret jmp nop or,1
lea ret xor ret pop push mov lea jmp nop,0
pop nop and pop add call push or mov lea sub ret ret sub mov pop cmp and sub ret,1
lea or ret call lea and lea lea mov cmp pop sub,1
mov ret ret or and push and call ret sub sub,0
lea add pop call cmp sub cmp add call jmp call call,0
cmp cmp push sub cmp ret,1
or cmp pop ret or cmp and pop and,0
jmp add lea and lea xor sub,1
or xor push jmp xor and lea xor sub cmp or push or or nop nop,0
cmp or mov nop xor mov cmp jmp jmp ret or nop cmp mov jmp pop,1
lea pop ret pop push xor jmp call and ret,1
xor nop pop cmp push cmp add cmp nop add call lea push or and,0
jmp pop or pop jmp and cmp,1
ret xor pop push mov add call sub lea jmp nop lea nop sub pop call jmp mov,0
lea and or push nop ret add mov or pop cmp xor and mov sub nop or or,1
or mov xor cmp mov cmp call call sub pop add,1
nop mov call cmp pop xor push pop or pop mov call sub lea jmp push jmp and jmp,1
cmp lea mov nop nop add nop mov xor push,0
or or jmp mov sub sub,0
sub sub lea call call nop add ret xor or,1
and ret mov ret push sub or mov or or jmp push ret,1
ret pop push mov mov sub call add xor cmp and nop xor sub jmp sub nop xor sub cmp,0
jmp or and call mov or and pop and pop cmp nop call jmp sub sub nop,0
mov or sub or nop pop nop ret cmp call push,0
and or cmp jmp xor mov ret mov ret add and nop push cmp push,0
jmp call call call cmp or,1
jmp call call call cmp push nop lea call call add,1
call push ret ret call call mov mov and ret push,1
mov cmp push or call nop sub,1
cmp mov jmp push jmp add cmp mov xor sub xor sub sub ret call pop,0
or add and call nop xor,1
cmp call or cmp sub mov add nop pop and call or mov call,1
and lea mov sub or nop lea call push ret or mov lea xor lea ret or push,1
jmp mov sub ret sub xor add ret add,1
call nop ret push or xor and ret sub sub mov pop,0
add cmp lea sub or and add call and,1
lea push call nop jmp pop xor jmp xor call add,1
or mov lea cmp call nop cmp pop or pop pop ret,0
and push call pop pop push xor jmp,1
call and lea cmp lea ret nop call nop xor mov sub pop,1
mov jmp or ret cmp sub jmp jmp and,1
or ret cmp push and sub add pop and jmp pop xor,1
cmp add cmp lea or add and and push or nop mov add push lea xor sub jmp,0
pop lea call jmp cmp lea and or jmp call call ret or lea sub lea,0
xor sub jmp or sub add ret push ret call cmp,0
ret and jmp cmp mov cmp xor and,1
and or call or cmp lea nop add jmp ret mov add push call pop ret sub and mov,1
lea pop mov sub push mov pop xor or nop,1
sub xor jmp ret cmp xor push sub pop add call add,1
lea sub pop jmp cmp or and sub call mov lea call xor,1
push sub pop jmp jmp xor ret xor sub or or jmp lea ret ret push sub or ret xor,1
cmp ret or mov call cmp jmp cmp pop pop xor call nop nop ret mov and,0
or jmp lea or call or or lea nop or and mov add,1
add ret jmp ret pop ret add jmp and mov nop ret sub jmp lea add push cmp lea add,1
mov add push and pop call xor mov add call xor xor lea push nop pop xor pop ret lea,0
lea add mov ret and nop nop cmp call lea sub pop xor push nop xor nop mov,0
or sub cmp and or xor or lea jmp cmp,1
and and cmp lea nop cmp push mov or jmp call add nop add,1
cmp cmp push xor or push jmp jmp cmp push xor ret,0
xor ret lea lea mov pop or sub lea sub xor nop sub nop cmp pop and xor,0
pop cmp call ret lea push nop call mov add add jmp,0
mov xor nop cmp mov ret ret,0
add nop jmp call mov jmp and jmp add pop jmp xor cmp ret,1
push mov and xor nop xor or ret add ret mov or lea cmp nop sub,0
add add pop and sub nop jmp ret nop lea nop push sub or and call jmp jmp,1
add push sub xor sub add xor sub jmp pop xor push pop or sub xor xor cmp nop call,0
lea cmp cmp cmp and call or add call nop call,0
mov jmp cmp nop call or call xor mov lea,1
lea cmp nop and cmp or call mov push ret jmp add lea or and,0
push sub ret nop pop lea call sub jmp push nop or and cmp mov mov add call nop pop,1
or or sub push or jmp add add,1
nop cmp cmp xor xor nop or ret and jmp call and lea call,1
add jmp mov xor mov ret sub call cmp xor or nop cmp xor ret add push pop,0
mov xor ret lea cmp add mov,1
sub push pop push call pop cmp or lea xor call sub ret,0
push cmp lea lea push lea add sub call xor,0
and jmp or sub cmp call or pop,0
ret xor add add add or ret push ret pop add push nop sub jmp call lea push sub push,1
or or nop or add jmp cmp pop push sub,0
jmp mov ret and add add call nop add or jmp call call pop push sub,0
nop jmp mov add add mov add jmp ret and call lea call lea mov,0
nop jmp push cmp mov cmp mov call ret pop mov mov jmp,1
sub nop lea ret lea add cmp add pop and lea or ret cmp add add add ret sub,1
mov add jmp mov call ret call call add cmp push pop nop ret,0
ret xor mov sub pop sub ret or ret nop sub and jmp mov call lea xor,0
jmp pop lea or xor add or,1
jmp and and pop push cmp mov,1
or and sub mov xor sub mov call cmp ret and ret pop or,1
sub push push ret cmp mov nop call,0
lea sub pop add call xor,0
cmp or nop push and cmp add and mov cmp or xor or,1
add sub cmp pop ret mov mov jmp jmp nop mov cmp and and push,1
pop mov sub lea mov add or cmp nop and xor cmp call add call pop sub,0
and add xor sub lea and call call and and nop cmp,0
jmp nop or add nop add pop and or nop cmp nop pop and lea or or call or nop,1
sub add nop add cmp or lea lea mov mov pop xor jmp jmp push sub lea jmp nop,0
cmp pop push jmp pop call and xor lea sub,1
cmp and lea jmp or and jmp pop call jmp ret mov and and,1
nop and push nop cmp jmp call or add,0
call push nop push or nop nop and lea call or cmp pop cmp and push add jmp mov,1
mov lea nop ret sub push ret,1
push add cmp mov add jmp and sub nop push lea and mov nop call,1
mov nop and sub add cmp pop mov add,1
xor xor call sub or or xor xor mov add jmp lea or xor sub sub cmp pop xor,1
pop push cmp sub or push,1
nop pop lea xor or cmp,1
nop call cmp or and and sub mov add sub and lea push ret jmp and,1
add and ret sub cmp cmp jmp cmp add,0
add and nop jmp cmp and,0
ret push mov cmp jmp sub sub lea add mov ret add push xor call sub mov mov cmp,0
nop add or cmp push push call pop pop pop,0
nop xor ret lea add xor jmp pop,0
mov lea jmp and cmp sub jmp add,0
xor cmp call and cmp lea jmp pop add xor lea xor mov mov cmp cmp jmp or,1
sub or push call lea ret xor or lea call,1
mov xor or call mov add or,1
add sub or xor ret sub sub push call xor cmp sub nop,1
call and lea pop xor xor,0
nop cmp jmp nop sub cmp cmp call jmp add call xor add add call,1
ret or ret ret xor ret cmp mov xor ret mov xor lea call push and sub,1
nop ret sub nop nop sub lea call nop add nop push lea pop jmp ret,1
jmp and mov lea ret add jmp lea call or jmp sub add xor xor cmp cmp lea xor,1
pop ret nop and ret xor push jmp or cmp pop jmp,1
ret sub add nop push xor call call or sub lea lea,1
cmp mov push and pop sub and ret and push pop and mov lea and ret mov call pop mov,0
nop jmp push xor pop push xor and lea and,1
nop pop call mov jmp nop cmp sub cmp,1
jmp lea nop mov lea and push add add xor push sub push cmp call call cmp cmp,1
cmp push cmp pop push cmp jmp add pop mov add,1
pop and push mov jmp call lea mov push call and lea cmp or xor,1
cmp jmp and sub push nop nop or mov or xor mov or push cmp or sub cmp ret mov,0
pop ret jmp sub xor cmp push pop nop xor,1
cmp jmp add and call call and lea ret push mov xor pop,0
pop call or mov pop nop and nop call pop or call,1
pop lea jmp add sub xor xor xor nop lea mov pop,0
jmp nop nop cmp sub ret lea mov cmp mov and xor mov,0
push lea or nop add jmp nop nop lea and lea add mov pop jmp sub sub cmp lea,0
sub sub push and or push mov cmp call pop cmp xor lea add ret call,0
call lea mov xor lea add pop nop add ret nop push,1
lea xor sub cmp and pop sub cmp jmp cmp or and,0
nop ret lea xor or or pop mov push mov mov sub mov and lea or mov push push,0
jmp jmp ret sub add push pop call nop mov,0
cmp sub or ret sub mov call,0
mov sub sub or push xor add cmp add jmp add nop lea cmp and mov lea xor ret or,0
jmp mov and cmp and ret jmp pop,1
or pop sub and cmp or lea nop pop and push cmp mov sub lea ret,1
pop or mov mov add ret and add,0
and or xor pop xor and ret nop xor add mov nop,1
or ret and lea lea lea jmp cmp nop cmp jmp xor push mov xor,1
or nop lea lea push mov sub call push pop and sub sub nop nop jmp push,1
nop call sub cmp xor mov ret cmp push jmp cmp nop push pop add mov,1
ret call sub cmp push cmp call nop call cmp or push or and sub nop,1
and add push nop cmp ret call cmp,0
and and ret ret or or nop jmp cmp cmp jmp cmp nop nop sub or push sub and mov,0
add pop pop xor lea jmp or sub mov ret,1
lea sub call sub jmp pop call pop cmp add or jmp,0
ret xor mov pop nop nop sub add or sub or,0
lea ret and lea xor jmp push,0
and jmp mov lea ret mov pop push pop ret ret jmp mov sub,0
pop jmp xor xor pop pop nop mov and push xor add ret jmp mov and sub or xor jmp,1
call mov cmp or push and mov add lea xor,0
ret mov xor xor sub xor mov call xor,1
nop pop lea or and pop sub,0
sub lea push lea or call cmp ret xor lea mov and nop call nop,1
add nop sub jmp pop or cmp ret lea push cmp mov,1
or jmp call nop pop sub mov nop,0
nop cmp nop cmp nop call lea add nop ret jmp,1
cmp mov add pop cmp and xor or cmp,0
nop add sub and and call pop nop push ret,0
cmp nop jmp xor or or pop ret pop,0
add or jmp push jmp and or mov jmp nop,1
and nop sub ret nop xor nop add xor lea push mov sub call pop nop lea call,0
sub or nop pop nop add jmp add nop call pop and ret jmp sub lea pop pop,1
mov mov lea push or call or xor nop add pop mov xor cmp,1
push jmp call call nop mov ret nop mov add jmp call or nop pop cmp call add,0
call lea mov and and nop add xor mov add nop ret,1
and jmp mov nop and pop push lea lea pop lea add or pop and,1
push sub ret push cmp add sub mov lea push and ret pop xor,0
sub lea mov sub lea and or ret pop pop cmp ret,1
pop lea lea mov cmp mov lea sub or push jmp nop jmp lea lea ret and,1
sub call xor ret push or xor cmp pop ret ret and pop nop cmp add and sub cmp,1
or and lea and or jmp cmp and xor and mov cmp or push push and push,0
nop pop xor add pop nop xor pop lea or jmp nop add lea lea and sub add,0
jmp pop sub pop sub mov add,1
jmp cmp and pop push mov cmp,1
nop mov xor lea and xor nop lea ret xor xor mov cmp mov jmp mov pop sub,0
pop or pop sub jmp mov cmp or sub ret xor and,1
and sub sub call call lea lea nop lea and lea sub call push sub nop or push,1
nop nop push mov add nop cmp xor sub mov call and nop,1
or and pop or ret mov pop call xor,1
pop and mov jmp or ret sub jmp mov cmp cmp push,0
xor add and pop and and or jmp lea xor cmp nop push or cmp cmp mov call,0
call ret call mov jmp pop pop xor jmp xor add lea add,1
jmp pop call ret sub or xor pop call mov and sub,0
xor sub xor lea cmp ret or add lea push sub cmp pop cmp lea jmp cmp call cmp nop,0
lea jmp pop and ret pop ret,0
push call sub mov or or or nop jmp jmp xor pop cmp add,0
jmp ret mov mov cmp sub cmp mov push xor mov nop ret nop sub jmp push mov,0
push call pop call mov and ret and ret cmp xor sub jmp nop or,1
ret lea add pop call sub,1
call lea add cmp pop call and push ret,1
jmp sub cmp pop or push push add lea sub or ret xor sub,1
mov sub add pop sub ret or sub mov jmp,1
or nop pop and xor call nop pop nop xor or cmp pop nop ret nop,0
call lea lea jmp ret xor or pop mov nop add lea nop push jmp,1
lea push and xor push and cmp and cmp or call jmp jmp ret,1
call sub nop add ret push cmp or lea add nop jmp sub sub sub mov cmp mov lea call,1
or cmp or call cmp lea xor push nop xor ret call jmp ret add ret pop push or add,1
nop jmp pop sub and nop add xor ret push pop lea add cmp add cmp pop nop,1
call mov cmp mov and or nop or lea nop nop pop or ret push sub mov xor,1
and push pop and add jmp pop sub jmp nop pop or pop push,0
ret lea and and nop pop and call add push nop jmp pop,0
or lea ret ret jmp mov cmp pop cmp push call add jmp,0
sub xor lea cmp ret add nop add mov,0
